sat_2.Earth.Latitude    sat_2.Earth.Longitude    
0.1189567859356451    111.7281787152812        
3.814640938980326        110.9325408323077        
9.355647975512623        109.7290982029345        
15.18574053717689        108.4328389188072        
21.0403348235812        107.0782327245086        
26.8891318921851        105.6446692913696        
32.72579089873917        104.0982592730261        
38.54606891005612        102.3913750103912        
44.34456339686741        100.4545809469142        
50.11322791734777        98.1809889264767        
55.83907899124129        95.39557506954829        
61.49887068822005        91.7905063750965        
67.04677180571515        86.77497055461484        
72.38047184391279        79.08969410551104        
77.23263273021723        65.76215703565151        
80.80994051419793        40.27855484438135        
81.35304055624256        1.332227542470307        
78.42609125318671        -28.81097991502534        
73.81164551737722        -44.73306409541923        
68.57155051812036        -53.58739860325844        
63.06637766834477        -59.1819453568305        
57.42823854268295        -63.10644902574604        
51.71385974673792        -66.0838987971088        
45.95136533598729        -68.48054508593121        
40.15607262734981        -70.4999691921402        
34.33737444042931        -72.26413341658179        
28.50151406369423        -73.85095445662991        
22.65284929718743        -75.3131649426394        
16.79490721526077        -76.68839321068479        
10.93061137352768        -78.00507794578152        
5.062573271253862        -79.28607282423509        
-0.8068014716156815    -80.55107672650601        
-6.675181591198619    -81.81843119022915        
-12.54039884797171    -83.10671270789202        
-18.39998781022233    -84.43624312466879        
-24.25152118878913    -85.83111469450441        
-30.09218311160015    -87.32180491244354        
-35.91848615887483    -88.94925758134239        
-41.72590450432301    -90.77165675180898        
-47.50783402720758    -92.87627710012515        
-53.25398237300857    -95.40195805788379        
-58.94673132084932    -98.58474273235673        
-64.55291715468094    -102.859220771163        
-70.00268236816289    -109.1070973769355        
-75.12636870407766    -119.3242547405932        
-79.44167297666986    -138.2760377643889        
-81.59667039516462    -172.6504686010804        
-80.06812402922831    150.5259272419384        
-76.01430002456181    129.079353549988        
-70.98507393184957    117.7158350653643        
-65.57348825106392    110.9311204235361        
-59.98337324754139    106.375383673182        
-54.29646549472779    103.0302657699743        
-48.55080089885559    100.4037525760763        
-42.766333137683        98.23303619825512        
-36.95458486487109    96.36562557806079        
-31.12310380289944    94.70683064312084        
-25.27692480865818    93.19413770062431        
-19.41992634618052    91.78400615447107        
-13.55528289521325    90.44437945203605        
-7.685736681860069    89.15021614651278        
-1.813778203226496    87.88061874566094        
4.058248884682016        86.61680064791916        
9.928034737345934        85.34045939340228        
15.79318908020658        84.03223996598024        
18.14796994318406        83.49275997815637        
18.1479699520565        83.49275997714226        
18.14796994305446        83.49275997817119        
18.14796994315057        83.49275997816022        
18.14796994330154        83.49275997814296        
18.14796994330188        83.49275997814289        
18.14796994330053        83.49275997814304        
18.14796994329589        83.49275997814361        
18.14796994329581        83.49275997814364        
18.14796994330394        83.49275997814267        
18.14796994331242        83.49275997814172        
18.14796994330614        83.4927599781424        
18.14796994329634        83.49275997814352        
18.14796994329155        83.49275997814411        
18.14796994328401        83.49275997814496        
18.14796994329296        83.49275997814395        
18.14796994328229        83.49275997814517        
18.1479699432926        83.49275997814399        
18.14796994331504        83.49275997814144        
18.14796994334183        83.49275997813837        
18.1479699433696        83.49275997813518        
18.14796994339424        83.49275997813237        
