sat_3.Earth.Latitude sat_3.Earth.Longitude
-0.05981426270286756 31.3724403544115
3.508678672973141 31.75601972338667
8.852310306399376 32.34110838165473
14.65150661792987 33.00892266087048
20.49263683257002 33.74124288217618
26.32651161680603 34.56406240000662
32.14350276535178 35.51673361291656
37.93751593383107 36.65380196750125
43.70096817068368 38.05397081326808
49.42278259477121 39.83684041603028
55.08512489872837 42.19465857146783
60.65685909748581 45.45666032922219
66.07929873159554 50.22953317930463
71.2291021862895 57.72134914576461
75.81444162100237 70.45168479977113
79.10666010604778 92.80366207138718
79.77721780399486 124.6704782194555
77.40411424978406 151.8136594447015
73.23473611936095 167.9313098686695
68.27986628953208 177.1666945266719
62.96708139401994 -177.142667224812
57.46995792216483 -173.3611653740546
51.86659854873078 -170.6895557456145
46.19633768819497 -168.7079268569134
40.48089202902747 -167.1781772144747
34.73364206895431 -165.9559469709564
28.96345136554306 -164.9483219657461
23.17661967379727 -164.09218655562
17.37757870964277 -163.3423362367221
11.57003094427485 -162.6646626334424
5.756942208514076 -162.0318170205103
-0.05897370493152659 -161.4203716066288
-5.87505456044661 -160.8086926955051
-11.68891357586836 -160.175093466472
-17.49784971046158 -159.4960653498512
-23.29888035743333 -158.7441107460178
-29.08856428067323 -157.884824707835
-34.86256647949219 -156.8725378882741
-40.61493945144051 -155.6432838080334
-46.33714650210203 -154.1026317518259
-52.01577726188317 -152.1034942693238
-57.62837622231476 -149.402687342016
-63.13429628334205 -145.5698114348929
-68.4525055193243 -139.7825301008205
-73.40283742223824 -130.3511296867221
-77.53943907322962 -113.8352250900589
-79.81580784906902 -86.17229231424871
-79.00523301950341 -54.3970733577853
-75.61695597103876 -32.51575476114078
-70.97828347461378 -20.09578185956476
-65.79402249413324 -12.7706265870909
-60.34552610106955 -8.091284672115503
-54.75191361876086 -4.885688756717651
-49.0698981514156 -2.564034453938634
-43.32963492023642 -0.8054609535714435
-37.54861442557638 0.577809384097816
-31.73804891489534 1.702840174406372
-25.90628193018774 2.646788511141649
-20.05944935585523 3.463382754272121
-14.20224187955466 4.192068837826469
-8.338459724802108 4.863491591503216
-3.796480278486233 5.360194799716987
