sat_2.Earth.Latitude sat_2.Earth.Longitude
58.20713156215008 -40.92274112480927
63.30550365653957 -36.23887610886644
67.52381883107672 -30.57896354208584
71.26759754242779 -22.93626082047701
74.40165698759773 -12.4447390249495
76.69535371632627 1.629050920932456
77.89536223722831 19.04726829741805
77.85003930988705 37.43991687351159
76.68690881791623 53.58554612054999
74.76668229644454 65.86739350571963
72.4347872635211 74.7231666689699
69.89446741824281 81.15536228282758
67.24973481049427 85.95340827605672
64.55100302527465 89.64087114541259
61.82114746941164 92.55426558808846
59.13610523916745 94.86013677791064
56.52098636352269 96.71489208850126
53.96844123972926 98.2415037384405
51.46520960126273 99.52448947338105
48.99718169147864 100.6221918278694
46.5505821406164 101.575832938733
44.11217027282738 102.4152815780377
41.68037391911422 103.1594559553499
39.33496216970627 103.8022328042184
37.06964442205023 104.3628725758321
34.86860809486279 104.8583062816485
32.71545210248633 105.3017220342883
30.59458985264261 105.7033097322679
28.49096153785906 106.0710978178181
26.39088509983064 106.4113594673982
24.28208318316248 106.7290469743876
22.15302455125445 107.0282087110056
19.99403537665173 107.3120706191906
17.87252105421365 107.574239574866
15.81901005719741 107.8142157107879
13.82501353209027 108.036000123121
11.87742467936389 108.2434535335252
9.962712763123863 108.4399311346054
8.067482196175529 108.6283636529964
6.178263420914923 108.8113973002306
4.282105090521299 108.9914375562602
2.366564069089451 109.1707435341107
0.4194308033061921 109.3515386965114
-1.570375506446836 109.5360106858042
-3.613241602913688 109.7264362885686
-5.718823679243405 109.9252661181176
-7.835081604745799 110.1292668005661
-9.903330083218769 110.334207883961
-11.92630437955503 110.5414801224295
-13.91438368486145 110.7532057784195
-15.87926715995879 110.9717414461352
-17.83326117162576 111.1997118217071
-19.78940568202493 111.4401418621037
-21.76122100216012 111.6965650013617
-23.76293340644678 111.9732208835822
-25.80887640659835 112.2751867903796
-27.91329438025535 112.6086063069906
-30.09103411721699 112.9811499163663
-32.3562812157871 113.4022884063575
-34.72333740134086 113.8840758245323
-37.18964700903377 114.4381060234515
-39.6394104578312 115.0491576119359
-42.06728229931903 115.7241568391071
-44.48234379783955 116.4756709157441
-46.89614311379732 117.320648454845
-49.32146406065987 118.2818145338114
-51.77205539948941 119.3901012931765
-54.26233535620592 120.6884223579431
-56.80660237114465 122.2374895039698
-59.41825307207097 124.1256281582563
-62.10723047330723 126.4846468393415
-64.87624978987384 129.5178562969272
-67.71458928442564 133.5519865589727
-70.58242061695051 139.1286844450908
-73.25574756739185 146.7202061565156
-75.56315129617737 157.1241437486978
-77.25960018977672 171.134060914802
-78.0147500468894 -171.4626354102728
-77.67430649159118 -155.0427300765409
